Date,Title and Day Published,Days Since Published,Daily Views,Daily Likes,Daily Comments
1/26/23,Microwaving A Microwave - (2016-12-08),2239,537,14,-6
1/26/23,IF YOU ONLY SEE ORANGE YOU'RE COLOR BLIND - (2016-12-04),2243,80,2,-1
1/26/23,I Mailed Myself IN A BOX & it REALLY WORKED! (Human Mail Challenge) - (2016-11-29),2248,5386,94,3
1/26/23,STUPIDEST PERSN ON EART (Really Dumb) - (2016-11-27),2250,153,12,0
1/26/23,"Reading The Entire Bee Movie Script But Everytime They Say ""Bee"" I Repeat All the Previous Bees - (2016-11-24)",2253,3137,32,-2
1/26/23,THE WORST THINGS EVER TO EXIST - (2016-11-18),2259,141,4,-1
1/26/23,BLOWING UP $1000 KEYBOARD *RIP WALLET* - (2016-11-11),2266,78,0,0
1/26/23,MY $1000 KEYBOARD CHANGED MY LIFE - (2016-11-03),2274,131,6,-1
1/26/23,I BOUGHT A 1000$ KEYBOARD - (2016-10-25),2283,144,4,1
1/26/23,IF ONLINE ADS WERE REAL - (2016-10-16),2292,177,19,-2
1/26/23,IT FINALLY CAME IN THE MAIL - (2016-10-10),2298,82,5,0
1/26/23,Bleach Bottle Flips (COP CALLED) - (2016-10-09),2299,56,1,0
1/26/23,Hi Me In A Year (Scheduled Uploaded A Year Ago) - (2016-10-04),2304,360,10,0
1/26/23,Epic New Gaming And Youtube Setup 2016 - (2016-09-30),2308,79,3,-1
1/26/23,24 HOUR EXPLOSION GIVEAWAY! WIN GIFTCARDS - (2016-09-05),2333,223,15,0
1/26/23,LISTENING TO OLD VOICEMAILS FOR THE FIRST TIME - (2016-08-28),2341,90,2,0
1/26/23,GAMBLING MONEY WITH SCRATCH OFF TICKETS - (2016-08-26),2343,118,6,2
1/26/23,BEST WALMART TOILET PAPER FORT - (2016-08-24),2345,92,4,-1
1/26/23,100 LAYERS OF SARAN WRAP + TOILET PAPER!! - (2016-08-23),2346,211,8,-1
1/26/23,WORST REVIEWS ON AMAZON #4 *FUNNY* - (2016-08-21),2348,60,1,0
1/26/23,HOW MUCH MONEY DO YOUTUBERS MAKE? - (2016-08-14),2355,231,11,0
1/26/23,THE WORST SONG ON YOUTUBE *CRINGE* - (2016-08-08),2361,85,1,0
