Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
The World's Hardest Video Game! - (2020-09-04),The World's Hardest Video Game!,2020-09-04,2020-09-04 13:32:50,870,51825205,59569.2,1122538,0.02166007833447065,52081,0.0010049357257728166,615,10.25
The Ultimate GTA V Stunt Race! - (2020-09-02),The Ultimate GTA V Stunt Race!,2020-09-02,2020-09-02 13:00:32,872,63971927,73362.3,944397,0.014762678635583386,32897,0.0005142411920778938,622,10.367
I Made a 100 Island Building Competition! - (2020-08-31),I Made a 100 Island Building Competition!,2020-08-31,2020-08-31 13:34:39,874,63348307,72480.9,1187391,0.01874384740858189,44888,0.0007085903653273639,678,11.3
"$100,000 Dream vs Technoblade Duel! - (2020-08-29)","$100,000 Dream vs Technoblade Duel!",2020-08-29,2020-08-29 13:00:12,876,36297699,41435.7,1700642,0.04685261178676918,463384,0.01276620867895786,864,14.4
Can You Beat Fall Guys Without Jumping?! - (2020-08-26),Can You Beat Fall Guys Without Jumping?!,2020-08-26,2020-08-26 12:11:37,879,40532732,46112.3,964232,0.023788971342963015,41444,0.001022482274325846,644,10.733
Can You Survive The Massive Tsunami? - (2020-08-24),Can You Survive The Massive Tsunami?,2020-08-24,2020-08-24 12:17:20,881,38092966,43238.3,908404,0.02384702729632552,34750,0.000912241908388021,703,11.717
Steal It & I'll Buy You a Real Diamond! - (2020-08-21),Steal It & I'll Buy You a Real Diamond!,2020-08-21,2020-08-21 12:19:34,884,23622772,26722.6,688434,0.02914281185967506,34472,0.0014592698943206156,658,10.967
"Extreme $20,000 Fall Guys Challenge! - (2020-08-19)","Extreme $20,000 Fall Guys Challenge!",2020-08-19,2020-08-19 12:02:32,886,47504424,53616.7,1038883,0.02186918422587336,46115,0.0009707516925160486,601,10.017
"Minecraft, but Lava Rises Every Minute! - (2020-08-17)","Minecraft, but Lava Rises Every Minute!",2020-08-17,2020-08-17 13:23:51,888,40348063,45437.0,832254,0.020626863797649966,33983,0.0008422461321129592,604,10.067
GTA V with Ultra Realistic Graphics Mod! - (2020-08-14),GTA V with Ultra Realistic Graphics Mod!,2020-08-14,2020-08-14 13:23:18,891,54143680,60767.3,1117251,0.020634929136697025,36775,0.0006792113133056342,663,11.05
I Downloaded The World's Hardest Mod! - (2020-08-11),I Downloaded The World's Hardest Mod!,2020-08-11,2020-08-11 12:38:00,894,27503212,30764.2,697286,0.025352893327513892,29401,0.0010690024132454057,605,10.083
"Raiding Servers With 10,000 People! - (2020-08-08)","Raiding Servers With 10,000 People!",2020-08-08,2020-08-08 13:02:58,897,21819396,24324.9,599221,0.02746276753032027,19901,0.0009120784095031778,634,10.567
"Whatever You Build, I'll Pay For! - (2020-08-06)","Whatever You Build, I'll Pay For!",2020-08-06,2020-08-06 12:00:23,899,102522220,114040.3,4902880,0.0478226086013354,201400,0.00196445219387563,668,11.133
"Minecraft, But Everything is Random! - (2020-08-02)","Minecraft, But Everything is Random!",2020-08-02,2020-08-02 12:17:36,903,85033315,94167.6,1214355,0.014280932126425979,47853,0.0005627559033773998,642,10.7
Extreme 1:1 City Hide and Seek! - (2020-07-31),Extreme 1:1 City Hide and Seek!,2020-07-31,2020-07-31 12:01:13,905,26518027,29301.7,572348,0.021583355352945376,18370,0.0006927363034964856,691,11.517
4 Hackers Vs 100 Players! - (2020-07-29),4 Hackers Vs 100 Players!,2020-07-29,2020-07-29 12:03:50,907,23311244,25701.5,590689,0.025339231145279077,20449,0.0008772161622948994,487,8.117
Playing GTA 5 Without Breaking Any Laws! - (2020-07-25),Playing GTA 5 Without Breaking Any Laws!,2020-07-25,2020-07-25 12:08:31,911,70401523,77279.4,1251047,0.01777016954590599,37043,0.0005261675944141152,639,10.65
I Got Hunted By 100 Players in Minecraft! - (2020-07-22),I Got Hunted By 100 Players in Minecraft!,2020-07-22,2020-07-22 13:42:59,914,29641221,32430.2,697177,0.023520522315865464,21306,0.0007187963005977385,602,10.033
"$10,000 World Height Jump Challenge! - (2020-07-19)","$10,000 World Height Jump Challenge!",2020-07-19,2020-07-19 12:00:43,917,49184876,53636.7,960460,0.019527547451781722,22203,0.0004514192533493426,612,10.2
Playing Horrible Fortnite Clones! - (2020-07-17),Playing Horrible Fortnite Clones!,2020-07-17,2020-07-17 12:08:20,919,23807008,25905.3,502440,0.021104710008078294,37247,0.001564539315482231,604,10.067
I Downloaded 1000+ Minecraft Mods! - (2020-07-15),I Downloaded 1000+ Minecraft Mods!,2020-07-15,2020-07-15 12:05:20,921,27283205,29623.5,565077,0.02071153297422352,26987,0.0009891433209551445,665,11.083
Climbing The World's Tallest Mountain! - (2020-07-12),Climbing The World's Tallest Mountain!,2020-07-12,2020-07-12 11:03:04,924,33400131,36147.3,836846,0.02505517119079563,32459,0.0009718225356661026,626,10.433
Minecraft But It's Raining Arrows! - (2020-07-10),Minecraft But It's Raining Arrows!,2020-07-10,2020-07-10 11:01:15,926,37402014,40390.9,795309,0.021263801462669898,27487,0.0007349069491284614,610,10.167
"First To Mine Netherite Wins $10,000! - (2020-07-08)","First To Mine Netherite Wins $10,000!",2020-07-08,2020-07-08 11:02:10,928,50949671,54902.7,917696,0.01801181405077179,26567,0.000521436144307978,712,11.867
Building My Entire City in 24 hours! - (2020-07-05),Building My Entire City in 24 hours!,2020-07-05,2020-07-05 13:17:41,931,27810536,29871.7,727442,0.02615706507778203,27818,0.0010002683874917046,602,10.033
